Subject_ID,Session_ID,Condition,Agent_Utility,Human_Utility,Agreement_Rounds,Raw_Arousal,Raw_Valence,Max_Arousal,Min_Arousal,Max_Valence,Min_Valence,Norm_Arousal,Norm_Valence,Concession_Rate,Nice_Rate,Fortunate_Rate,Unfortunate_Rate,Selfish_Rate,Silent_Rate
1,1,CL,0.7,0.85,8,-0.016677966679708334,-0.016202512488234788,0.6066440269351006,-0.7943553955471583,0.6066440269351006,-0.7943553955471583,0.34764140123472975,0.0759411949912072,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0,0.0
1,2,FC,0.75,0.75,9,0.0861052932838599,-0.05408340247554912,0.6162732972039117,-0.8888888888888888,0.6162732972039117,-0.8888888888888888,0.08610529328385985,-0.054083402475549096,0.0,0.0,0.375,0.25,0.375,0.0
2,1,FC,0.9,0.575,3,0.010126986633986236,0.03926365226507187,0.44548591375350954,-0.06064173281192779,0.44548591375350954,-0.06064173281192779,0.009606575438131867,0.04702502116560933,0.5,0.0,0.0,0.5,0.0,0.0
2,2,CL,0.75,0.775,6,-0.10178241421553222,-0.1019242729314349,0.6074829257618297,-0.8181818181818182,0.6074829257618297,-0.8181818181818182,0.24317794948325588,0.013584070929356984,0.6,0.0,0.2,0.2,0.0,0.0
3,1,FC,0.8,0.8,7,0.006695113073174783,-0.02657287152340779,0.47598137763830334,-0.48221347423700184,0.47598137763830334,-0.48221347423700184,0.007186686087931874,-0.021178534121385633,0.16666666666666666,0.0,0.16666666666666666,0.5,0.16666666666666666,0.0
3,2,CL,0.8,0.8,10,-0.031977650954535135,-0.035587417342723804,0.7128030674081102,-0.8041870844991583,0.7128030674081102,-0.8041870844991583,0.01838509617780748,0.007473314911457642,0.2222222222222222,0.0,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.0
4,1,CL,0.65,0.85,11,0.019310061904517083,0.024100880053910343,0.7425000000000002,-0.8586363636363636,0.7425000000000002,-0.8586363636363636,0.1048907831446193,0.09362534530098678,0.2,0.0,0.2,0.1,0.4,0.1
4,2,FC,0.525,0.875,20,-0.024378466559574007,0.09775736462324858,0.8510259489297866,-0.95,0.8510259489297866,-0.95,-0.024378466559573986,0.09775736462324858,0.15789473684210525,0.0,0.21052631578947367,0.2631578947368421,0.3684210526315789,0.0
5,1,FC,0.775,0.6,9,0.055450737366781515,0.17653469785171397,0.5921779976171606,-0.4148826178382425,0.5921779976171606,-0.4148826178382425,0.03818403836339709,0.19796625731719864,0.5,0.125,0.0,0.125,0.25,0.0
5,2,CL,0.85,0.7,3,0.0316706605255604,0.03636934608221053,0.4742105841636658,-0.3577805550130857,0.4742105841636658,-0.3577805550130857,0.2776924803448555,-0.030285167651690932,1.0,0.0,0.0,0.0,0.0,0.0
