Move_Type,Condition,N,Arousal_Mean,Arousal_SD,Valence_Mean,Valence_SD
Concession,FC,473,0.010552137222042648,0.08326996822209885,0.037059006388196376,0.17223070388736825
Concession,CL,386,0.1726041866610494,0.2102964781223742,0.07102966609509913,0.19376769495961582
Selfish,FC,470,0.010830522763647286,0.09306915734425417,0.03404967726214559,0.186101199385149
Selfish,CL,393,0.18688551552184365,0.21436594433823847,0.07080759687057006,0.2156614468075354
Fortunate,FC,50,0.03877877181763781,0.11602151724642733,0.043056536055790795,0.18767571142121028
Fortunate,CL,49,0.14221075696687266,0.2277400368346144,0.06554709400388188,0.18377296793610828
Unfortunate,FC,37,0.03840563245187516,0.14613629850108845,0.08153538247391294,0.23530658978612218
Unfortunate,CL,30,0.1065211437337489,0.258794523376562,0.06628309625092788,0.17699420205639751
Nice,FC,12,0.04793281527236101,0.08067129468930125,-0.10099253198131918,0.15589046092948622
Nice,CL,8,0.12479237358156554,0.10136512319646541,0.09384762928735393,0.09157319359098018
Other,FC,10,0.04560079015791414,0.11778546097572408,-0.10226556528359651,0.13322932600674736
Other,CL,13,0.15016387610763893,0.10023094585761987,0.09832033009517444,0.12244775287933896
Pa_Gain,FC,12,0.01148222884244255,0.11599591155810789,0.06678485613679082,0.17822800997598376
Pa_Gain,CL,17,0.11980258340987543,0.15485260336163423,0.058299999881259404,0.23560966553405924
Silent,FC,4,0.004864846181237351,0.17589563883156464,0.062108341769248177,0.3270201612544419
Silent,CL,8,0.04789085746290442,0.20460065477740363,-0.0024821262577455067,0.30880094935768243
